name,street,city,state,zip,type,,website
Legal Distribution,3112 Atlantic Ave,Atlantic City,NJ,8401,R,,
Lemon 22,2006 US-22,Scotch Plains,NJ,7076,R,,
Loud House,112 N 3rd St,Camden,NJ,8102,R,,
Mad Hatter Dispensary,845 US-1,Avenel,NJ,7001,R,,
Main Street Dispensary,311 Raritan Ave,Highland Park,NJ,8904,R,,
Mass Grown,34 Mill St,Mt Holly,NJ,8060,R,,
Med Leaf,201 Philadelphia Ave,Egg Harbor City,NJ,8215,R,,
Midnight Greens,5100 NJ-42,Blackwood,NJ,8012,R,,
MindLift Dispensary,517 Park Ave,Plainfield,NJ,7060,R,,
MMD NJ,655 Newark Ave,Jersey City,NJ,7306,R,,
Moja Life,28 S Warren St,Trenton,NJ,8608,R,,
Molly Ann Farms,256 Belmont Ave,Haledon,NJ,7508,R,,
Mountain Dispensary,46 NJ-94,Vernon Township,NJ,7462,R,,
Mountain View Farmacy,74 Oak Ridge Rd,Oak Ridge,NJ,7438,R,,
NAR Cannabis,4004 Church Rd,Mt Laurel Township,NJ,8054,R,,
Natural Apothecary,27 Washington Ave,Belleville,NJ,7109,R,,
Nature’s Motivation,1095 Clinton Ave,Irvington,NJ,7111,R,,
Nevaeh Verde Dispensary,176 Belmont Ave,Belleville,NJ,7109,R,,
New Era Dispensary,80-88 Main St,South Bound Brook,NJ,8880,R,,
New Frontier Solutions,473 E Broadway,Salem,NJ,8079,R,,
Nightjar,549 Bloomfield Ave,Bloomfield,NJ,7003,R,,
Nile of NJ,5409 Bergenline Ave,West New York,NJ,7093,R,,
Nirvana,1134 NJ-73,Mt Laurel Township,NJ,8054,R,,
NJ Pure,"A-10, 4313 US-130",Edgewater Park,NJ,8010,R,,
Noire Dispensary,171 Maplewood Ave,Maplewood,NJ,7040,R,,
Northeast Alternatives Dispensary,780 US-130,Hamilton Township,NJ,8691,R,,
Nova Farms,642 Mantua Pike,Woodbury,NJ,8096,R,,
Ohm Theory,213 US-46,Elmwood Park,NJ,7407,R,,
One Green Leaf,95 Lakeview Dr N,Gibbsboro,NJ,8026,R,,
Organic Farms,2895 Mt Ephraim Ave,Camden,NJ,8104,R,,
OTC Jersey,167 New Jersey Ave,Absecon,NJ,8201,R,,
Phasal,1100 N Black Horse Pike,Runnemede,NJ,8078,R,,
Phula,60-62 High St,Mt Holly,NJ,8060,R,,
Plant Base,148 E 2nd St,Plainfield,NJ,7060,R,,
Plantabis,2077 US-1,Rahway,NJ,7065,R,,
Plantopia,37 Main St,Englishtown,NJ,7726,R,,
PPP Dispensary,3001 Atlantic Ave,Atlantic City,NJ,8401,R,,
Premo,2 E Front St,Keyport,NJ,7735,R,,
Public Absecon,792a White Horse Pike,Absecon,NJ,8201,R,,
Puffin Store,382 George St,New Brunswick,NJ,8901,R,,
Pure Blossom,2554 Pennington Rd,Pennington,NJ,8534,R,,
Pure Natural Vibes,470 Prospect Ave,West Orange,NJ,7052,R,,
Quality Roots,850 Rte 70 W,Marlton,NJ,8053,R,,
Queen City Remedies,1353 South Ave,Plainfield,NJ,7062,R,,
Releaf Cannabis,1024 S Black Horse Pike,Williamstown,NJ,8094,R,,
RushBudz Dispensary,77 Main St,South Bound Brook,NJ,8880,R,,
Ruuted,14 Main St,Englishtown,NJ,7726,R,,
Salt Air Botanicals,1127 Arctic Ave,Atlantic City,NJ,8401,R,,
Scarlet Reserve Room,5 Hamilton Rd,Englishtown,NJ,7726,R,,
Sea & Leaf,3860 Bayshore Rd,North Cape May,NJ,8204,R,,
Shipwreck'd,300 W Sylvania Ave,Neptune City,NJ,7753,R,,
Shore House Canna,124 Sunset Blvd,Cape May,NJ,8204,R,,
Simply Pure Trenton,1531 N Olden Ave,Ewing Township,NJ,8638,R,,
