name,street,city,state,zip,type,website,phone,source
Canna Remedies,2175 Spruce St,Trenton,NJ,8638.0,R,https://www.google.com/maps/dir/?api=1&destination=2175%20Spruce%20St%2C%20Trenton%2C%20NJ%2008638%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cannabis Clubhouse,70-72 E Main St,Sussex,NJ,7461.0,R,https://www.google.com/maps/dir/?api=1&destination=70-72%20E%20Main%20St%2C%20Sussex%2C%20NJ%2007461%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
CannaBoy Treehouse,57 W South Orange Ave,South Orange Village,NJ,7079.0,R,https://www.google.com/maps/dir/?api=1&destination=57%20W%20South%20Orange%20Ave%2C%20South%20Orange%20Village%2C%20NJ%2007079%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cannavibes,1 US-46,Elmwood Park,NJ,7407.0,R,https://www.google.com/maps/dir/?api=1&destination=1%20US-46%2C%20Elmwood%20Park%2C%20NJ%2007407%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Canopy Crossroad,9 West St,Red Bank,NJ,7701.0,R,https://www.google.com/maps/dir/?api=1&destination=9%20West%20St%2C%20Red%20Bank%2C%20NJ%2007701%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Carry-On Cannabis,2379 S Black Horse Pike,Williamstown,NJ,8094.0,R,https://www.google.com/maps/dir/?api=1&destination=2379%20S%20Black%20Horse%20Pike%2C%20Williamstown%2C%20NJ%2008094%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Casa Verde Wellness,315 US-46,Dover,NJ,7801.0,R,https://www.google.com/maps/dir/?api=1&destination=315%20US-46%2C%20Dover%2C%20NJ%2007801%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Castaway Cannabis,6006 US-130,Delran,NJ,8075.0,R,https://www.google.com/maps/dir/?api=1&destination=6006%20US-130%2C%20Delran%2C%20NJ%2008075%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Central Jersey Dispensary,2 John F Kennedy Blvd,Somerset,NJ,8873.0,R,https://www.google.com/maps/dir/?api=1&destination=2%20John%20F%20Kennedy%20Blvd%2C%20Somerset%2C%20NJ%2008873%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Citi Roots,4585 NJ-27,Kingston,NJ,8528.0,R,https://www.google.com/maps/dir/?api=1&destination=4585%20NJ-27%2C%20Kingston%2C%20NJ%2008528%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
City Leaves,2516 Fire Rd,Egg Harbor Township,NJ,8234.0,R,https://www.google.com/maps/dir/?api=1&destination=2516%20Fire%20Rd%2C%20Egg%20Harbor%20Township%2C%20NJ%2008234%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
CityLeaf Dispensary,519 Broadway,Newark,NJ,7104.0,R,https://www.google.com/maps/dir/?api=1&destination=519%20Broadway%2C%20Newark%2C%20NJ%2007104%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cloud Nine Dispensary,513-27 US-22,North Plainfield,NJ,7060.0,R,https://www.google.com/maps/dir/?api=1&destination=513-27%20US-22%2C%20North%20Plainfield%2C%20NJ%2007060%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Conservatory Cannabis Company,2516 Fire Rd,Egg Harbor Township,NJ,8234.0,R,https://www.google.com/maps/dir/?api=1&destination=2516%20Fire%20Rd%2C%20Egg%20Harbor%20Township%2C%20NJ%2008234%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cookies Harrison,335 Angelo Cifelli Dr,Harrison,NJ,7029.0,R,https://www.google.com/maps/dir/?api=1&destination=335%20Angelo%20Cifelli%20Dr%2C%20Harrison%2C%20NJ%2007029%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cottonmouth Dispensary,10 E Clements Bridge Rd,Runnemede,NJ,8078.0,R,https://www.google.com/maps/dir/?api=1&destination=10%20E%20Clements%20Bridge%20Rd%2C%20Runnemede%2C%20NJ%2008078%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
CREAM Cannabis Dispensary,284 1st St,Jersey City,NJ,7302.0,R,https://www.google.com/maps/dir/?api=1&destination=284%201st%20St%2C%20Jersey%20City%2C%20NJ%2007302%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cuzzie's,2750 Mt Ephraim Ave,Camden,NJ,8104.0,R,https://www.google.com/maps/dir/?api=1&destination=2750%20Mt%20Ephraim%20Ave%2C%20Camden%2C%20NJ%2008104%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Dank Poet Dispensary,245 E Washington Ave,Washington,NJ,7882.0,R,https://www.google.com/maps/dir/?api=1&destination=245%20E%20Washington%20Ave%2C%20Washington%2C%20NJ%2007882%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Daylite Cannabis,1136 NJ-73,Mt Laurel Township,NJ,8054.0,R,https://www.google.com/maps/dir/?api=1&destination=1136%20NJ-73%2C%20Mt%20Laurel%20Township%2C%20NJ%2008054%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Dispensary of Somerset,920 Hamilton St,Somerset,NJ,8873.0,R,https://www.google.com/maps/dir/?api=1&destination=920%20Hamilton%20St%2C%20Somerset%2C%20NJ%2008873%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Dispensary of Union,1603 US-22,Union,NJ,7083.0,R,https://www.google.com/maps/dir/?api=1&destination=1603%20US-22%2C%20Union%2C%20NJ%2007083%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Dogwood Green,5 Central Ave,West Orange,NJ,7052.0,R,https://www.google.com/maps/dir/?api=1&destination=5%20Central%20Ave%2C%20West%20Orange%2C%20NJ%2007052%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Doobiez,1612 Union Valley Rd,West Milford,NJ,7480.0,R,https://www.google.com/maps/dir/?api=1&destination=1612%20Union%20Valley%20Rd%2C%20West%20Milford%2C%20NJ%2007480%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Earth & Ivy,355 George St,New Brunswick,NJ,8901.0,R,https://www.google.com/maps/dir/?api=1&destination=355%20George%20St%2C%20New%20Brunswick%2C%20NJ%2008901%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Earth & Ivy Lakehurst,29 Union Ave,Lakehurst,NJ,8733.0,R,https://www.google.com/maps/dir/?api=1&destination=29%20Union%20Ave%2C%20Lakehurst%2C%20NJ%2008733%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Elevated by TheCannaBossLady,9 Highland Pl,Maplewood,NJ,7040.0,R,https://www.google.com/maps/dir/?api=1&destination=9%20Highland%20Pl%2C%20Maplewood%2C%20NJ%2007040%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Elevated Herb,1846 NJ-23,West Milford,NJ,7480.0,R,https://www.google.com/maps/dir/?api=1&destination=1846%20NJ-23%2C%20West%20Milford%2C%20NJ%2007480%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Emerald Tea Supply,368b Broad St,Bloomfield,NJ,7003.0,R,https://www.google.com/maps/dir/?api=1&destination=368b%20Broad%20St%2C%20Bloomfield%2C%20NJ%2007003%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Enlighten Dispensary,781 Rte 70 W,Marlton,NJ,8053.0,R,https://www.google.com/maps/dir/?api=1&destination=781%20Rte%2070%20W%2C%20Marlton%2C%20NJ%2008053%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Everest Dispensary,1226 Atlantic Ave,Atlantic City,NJ,8401.0,R,https://www.google.com/maps/dir/?api=1&destination=1226%20Atlantic%20Ave%2C%20Atlantic%20City%2C%20NJ%2008401%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Evergreen Nature's Remedy,1242 NJ-23,Butler,NJ,7405.0,R,https://www.google.com/maps/dir/?api=1&destination=1242%20NJ-23%2C%20Butler%2C%20NJ%2007405%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
