name,street,city,state,zip,type,website,phone,source
Social Dispensary,614 N Pearl St,Bridgeton,NJ,8302,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Somerset Green,729 Somerset St,Somerset,NJ,8873,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Soulflora,2713 NJ-23,Newfoundland,NJ,7435,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Sparkology,3231 NJ-27,Franklin Park,NJ,8823,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Spot 23 LLC,2915 NJ-23,Newfoundland,NJ,7435,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Springfield Ave Dispensary,1070 Springfield Ave,Irvington,NJ,7111,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Story Dispensary of Springfield,130 US-22,Springfield,NJ,7081,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
SunnyTien,3004 Atlantic Ave,Atlantic City,NJ,8401,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Sussex Pharms,54 Main St,Sussex,NJ,7461,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Sweet Leaf's LLC,21 S Tennessee Ave,Atlantic City,NJ,8401,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Sweetspot Dispensary Maplewood,751 Irvington Ave,Maplewood,NJ,7040,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Sweetspot River Edge,75 Rte 4,River Edge,NJ,7661,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Taste of Earth,108 Wheat Rd,Buena,NJ,8310,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
The Cannabis Place,1544 John F. Kennedy Blvd,Jersey City,NJ,7305,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
The Dispensary of Saddle Brook,225 US-46,Saddle Brook,NJ,7663,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
The Frosted Nug at Red Bank,22 Bridge Ave,Red Bank,NJ,7701,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
"The Goods Supply Co. Victory Gardens, LLC",330 S Salem St,Dover,NJ,7801,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
The Healing Side,2415 Pacific Ave,Atlantic City,NJ,8401,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
The Honorable Plant,123 Bay Ave,Highlands,NJ,7732,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
The Jersey Joint Dispensary,7-11 State St,Glassboro,NJ,8028,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
The Leaf and Seed Dispensary,328 White Horse Pike Unit L,Clementon,NJ,8021,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
The Library of New Jersey,1-3 Washington St,West Orange,NJ,7052,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
The Medicine Woman,660 Tonnelle Ave,Jersey City,NJ,7307,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
The Other Side Dispensary,36 Congress St,Jersey City,NJ,7307,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
The Social Leaf,334 Atlantic City Blvd,Toms River,NJ,8757,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
The THC Shop,1740 Atlantic Ave,Atlantic City,NJ,8401,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
The Wildflower Market,1810 Wayside Rd suite a,Eatontown,NJ,7724,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Timber 5,695 Hamilton St,Somerset,NJ,8873,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Township Green,15-17 E Scott St,Riverside,NJ,8075,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Tree House Co-Op Dispensary,326 NJ-73,Voorhees Township,NJ,8043,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Treeotics,467 Lyons Ave,Newark,NJ,7112,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Twisted Hat Cannabis,515 Shell Rd,Carneys Point,NJ,8069,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Uforia Dispensary,138 Griffith St,Jersey City,NJ,7307,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Uma Flowers,100 Ridgedale Ave,Morristown,NJ,7960,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Union Chill,204 N Union St,Lambertville,NJ,8530,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Unity Rd. Cannabis Shop,441 Elizabeth Ave,Somerset,NJ,8873,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Urge,941 Elizabeth Ave,Elizabeth,NJ,7201,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Vigor Dispensary,1082 NJ-34,Matawan,NJ,7747,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Village Hoboken,516 Washington St,Hoboken,NJ,7030,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Voltaire NJ,47 Mill St,Mt Holly,NJ,8060,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
West Orange Wellness,26 S Valley Rd,West Orange,NJ,7052,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Woodbury Wellness,818 N Broad St,Woodbury,NJ,8096,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Xena NJ,759a Bergen Ave,Jersey City,NJ,7305,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Zacate,"Millside Shopping Center II, 4037 US-130",Delran,NJ,8075,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Zen Leaf Mount Holly,600 High St,Mt Holly,NJ,8060,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Apothecarium Dispensary,55 S Main St,Phillipsburg,NJ,8865,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Apothecarium Dispensary,1865 Springfield Ave,Maplewood,NJ,7040,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Apothecarium Dispensary,200 NJ-17,Lodi,NJ,7644,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Ascend,325 NJ-15,Wharton,NJ,7885,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Ascend,461-469 West St,Fort Lee,NJ,7024,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Ascend,174 NJ-17,Rochelle Park,NJ,7662,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Aunt Mary's Dispensary,100 Reaville Ave,Flemington,NJ,8822,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Ayr Wellness,950 US-1,Woodbridge,NJ,7095,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Ayr Wellness,59 Main St,Eatontown,NJ,7724,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Ayr Wellness,2536 US-22,Union,NJ,7083,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
BLOC,1075 Easton Ave,Somerset,NJ,8873,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
BLOC,501 US-9,Waretown,NJ,8758,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
BLOC,1761 N Olden Ave,Ewing Township,NJ,8638,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Breakwater,2 Corporate Dr,East Windsor,NJ,8512,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Breakwater,154 Westfield Ave W,Roselle Park,NJ,7204,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Brute's Roots,6206 Black Horse Pike,Egg Harbor Township,NJ,8234,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Curaleaf,191 US-130,Bordentown,NJ,8505,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Curaleaf,4237 US-130,Edgewater Park,NJ,8010,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Curaleaf,640 Creek Rd,Bellmawr,NJ,8031,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Design 710,112 Park Pl,Atlantic City,NJ,8401,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Downtown FLWR,141 Newark Ave,Jersey City,NJ,7302,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Eastern Green,78 NJ-73,Voorhees Township,NJ,8043,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Garfield Gardens Dispensary,517 River Dr,Garfield,NJ,7026,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Holistic Solutions,451 White Horse Pike,Atco,NJ,8004,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
HoneyGrove,1337 Blackwood-Clementon Rd,Clementon,NJ,8021,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Illicit Gardens Dispensary Secaucus,30 Wood Ave,Secaucus,NJ,7094,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Monmouth Wellness & Healing (Formerly NJ Leaf),546 Park Ave,Freehold,NJ,7728,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Monteverde NJ,45 Bridge Ave,Red Bank,NJ,7701,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
MPX NJ,153 S New York Ave,Atlantic City,NJ,8401,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
MPX NJ,5035 Central Hwy,Pennsauken Township,NJ,8109,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
MPX NJ,581 Berlin - Cross Keys Rd,Sicklerville,NJ,8081,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
NJ Leaf North Brunswick (Formerly Garden State Botanicals),1345 US-1,North Brunswick Township,NJ,8902,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Restore NJ,300 William Dalton Dr,Glassboro,NJ,8028,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
RIPT,220 Broadway,Jersey City,NJ,7306,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
RISE,145 Rte 4,Paramus,NJ,7652,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
RISE,196 3rd Ave 3 c,Paterson,NJ,7514,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
RISE,26-48 Bloomfield Ave,Bloomfield,NJ,7003,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Roots Dispensary,4402 US-130,Willingboro,NJ,8046,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Sanctuary Cannabis,2581 US-22,Scotch Plains,NJ,7076,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
SilverLeaf Wellness,1743 NJ-27,Somerset,NJ,8873,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Sweet Spot,903 White Horse Rd,Voorhees Township,NJ,8043,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
The Botanist,2090 N Black Horse Pike,Williamstown,NJ,8094,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
The Botanist,35 W Crescent Blvd,Collingswood,NJ,8108,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
The Botanist,100 Century Dr,Egg Harbor Township,NJ,8234,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
The Cannabist,4476 Black Horse Pike Suite 2,Mays Landing,NJ,8330,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
The Cannabist,1062 N Delsea Dr,Vineland,NJ,8360,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
The Cannabist,1692 Clements Bridge Rd,Deptford,NJ,8096,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
The Station,86 River St,Hoboken,NJ,7030,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Theo A. Cannabis,3059 NJ-27 unit 104,Franklin Park,NJ,8823,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Theory Wellness,461 New York Ave,Trenton,NJ,8638,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Toke Lane Cannabis Dispensary,226 S Broad St,Trenton,NJ,8608,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
URB’N Dispensary,378 South St,Newark,NJ,7105,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Valley Wellness,407 US-202,Raritan,NJ,8869,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Zen Leaf,NJ-66,Neptune Township,NJ,,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Zen Leaf,117 Spring St,Elizabeth,NJ,7201,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Zen Leaf,3256 Brunswick Pike,Lawrence Township,NJ,8648,M,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
