name,street,city,state,zip,type,website,phone,source
CREAM Cannabis Dispensary,284 1st St,Jersey City,NJ,7302,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cuzzie's,2750 Mt Ephraim Ave,Camden,NJ,8104,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Dank Poet Dispensary,245 E Washington Ave,Washington,NJ,7882,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Daylite Cannabis,1136 NJ-73,Mt Laurel Township,NJ,8054,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Dispensary of Somerset,920 Hamilton St,Somerset,NJ,8873,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Dispensary of Union,1603 US-22,Union,NJ,7083,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Dogwood Green,5 Central Ave,West Orange,NJ,7052,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Doobiez,1612 Union Valley Rd,West Milford,NJ,7480,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Earth & Ivy,355 George St,New Brunswick,NJ,8901,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Earth & Ivy Lakehurst,29 Union Ave,Lakehurst,NJ,8733,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Elevated by TheCannaBossLady,9 Highland Pl,Maplewood,NJ,7040,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Elevated Herb,1846 NJ-23,West Milford,NJ,7480,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Emerald Tea Supply,368b Broad St,Bloomfield,NJ,7003,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Enlighten Dispensary,781 Rte 70 W,Marlton,NJ,8053,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Everest Dispensary,1226 Atlantic Ave,Atlantic City,NJ,8401,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Evergreen Nature's Remedy,1242 NJ-23,Butler,NJ,7405,R,,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
