name,street,city,state,zip,website,phone,source
Kine Buds Maywood,113 E Passaic St,Maywood,NJ,07607,,,https://www.nj.gov/cannabis/dispensaries/find/
La Vida Gardens,523 Washington Ave,Belleville,NJ,07109,,,https://www.nj.gov/cannabis/dispensaries/find/
Lady L Cannabis,547 West Side Ave,Jersey City,NJ,07304,,,https://www.nj.gov/cannabis/dispensaries/find/
Leaf Haus,900 Easton Ave,Somerset,NJ,08873,,,https://www.nj.gov/cannabis/dispensaries/find/
Leaf Joint,391 Central Ave,Jersey City,NJ,07307,,,https://www.nj.gov/cannabis/dispensaries/find/
Legacy to Lifted,490 West Side Ave,Jersey City,NJ,07304,,,https://www.nj.gov/cannabis/dispensaries/find/
Legal Distribution,3112 Atlantic Ave,Atlantic City,NJ,08401,,,https://www.nj.gov/cannabis/dispensaries/find/
Lemon 22,2006 US-22,Scotch Plains,NJ,07076,,,https://www.nj.gov/cannabis/dispensaries/find/
Loud House,112 N 3rd St,Camden,NJ,08102,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,845 US-1,Avenel,NJ,07001,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,311 Raritan Ave,Highland Park,NJ,08904,,,https://www.nj.gov/cannabis/dispensaries/find/
Mass Grown,34 Mill St,Mt Holly,NJ,08060,,,https://www.nj.gov/cannabis/dispensaries/find/
Med Leaf,201 Philadelphia Ave,Egg Harbor City,NJ,08215,,,https://www.nj.gov/cannabis/dispensaries/find/
Midnight Greens,5100 NJ-42,Blackwood,NJ,08012,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,517 Park Ave,Plainfield,NJ,07060,,,https://www.nj.gov/cannabis/dispensaries/find/
MMD NJ,655 Newark Ave,Jersey City,NJ,07306,,,https://www.nj.gov/cannabis/dispensaries/find/
Moja Life,28 S Warren St,Trenton,NJ,08608,,,https://www.nj.gov/cannabis/dispensaries/find/
Molly Ann Farms,256 Belmont Ave,Haledon,NJ,07508,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,46 NJ-94,Vernon Township,NJ,07462,,,https://www.nj.gov/cannabis/dispensaries/find/
Mountain View Farmacy,74 Oak Ridge Rd,Oak Ridge,NJ,07438,,,https://www.nj.gov/cannabis/dispensaries/find/
NAR Cannabis,4004 Church Rd,Mt Laurel Township,NJ,08054,,,https://www.nj.gov/cannabis/dispensaries/find/
Natural Apothecary,27 Washington Ave,Belleville,NJ,07109,,,https://www.nj.gov/cannabis/dispensaries/find/
Nature’s Motivation,1095 Clinton Ave,Irvington,NJ,07111,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,176 Belmont Ave,Belleville,NJ,07109,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,80-88 Main St,South Bound Brook,NJ,08880,,,https://www.nj.gov/cannabis/dispensaries/find/
New Frontier Solutions,473 E Broadway,Salem,NJ,08079,,,https://www.nj.gov/cannabis/dispensaries/find/
Nightjar,549 Bloomfield Ave,Bloomfield,NJ,07003,,,https://www.nj.gov/cannabis/dispensaries/find/
Nile of NJ,5409 Bergenline Ave,West New York,NJ,07093,,,https://www.nj.gov/cannabis/dispensaries/find/
Nirvana,1134 NJ-73,Mt Laurel Township,NJ,08054,,,https://www.nj.gov/cannabis/dispensaries/find/
NJ Pure,"A-10, 4313 US-130",Edgewater Park,NJ,08010,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,171 Maplewood Ave,Maplewood,NJ,07040,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,780 US-130,Hamilton Township,NJ,08691,,,https://www.nj.gov/cannabis/dispensaries/find/
Nova Farms,642 Mantua Pike,Woodbury,NJ,08096,,,https://www.nj.gov/cannabis/dispensaries/find/
Ohm Theory,213 US-46,Elmwood Park,NJ,07407,,,https://www.nj.gov/cannabis/dispensaries/find/
One Green Leaf,95 Lakeview Dr N,Gibbsboro,NJ,08026,,,https://www.nj.gov/cannabis/dispensaries/find/
